project,revision,path.method
amqcpp, 4cbb7aacdb0914ebae84ac1df01b709fc5aec2bf,activemq-cpp-openwire-generator/src/main/java/org/apache/activemq/openwire/tool/commands/CommandHeaderGenerator.java#public_void_generate(PrintWriter);protected_void_populateIncludeFilesSet();protected_void_populateBaseClassesSet();protected_void_generateNamespaceWrapper(PrintWriter);protected_void_generateForwardDeclarations(PrintWriter);protected_void_generateClassDefinition(PrintWriter);protected_void_generateProperties(PrintWriter);protected_void_generateAdditionalConstructors(PrintWriter);protected_void_generateAdditonalMembers(PrintWriter);protected_void_generatePropertyAccessors(PrintWriter);
amqcpp, 4cbb7aacdb0914ebae84ac1df01b709fc5aec2bf,activemq-cpp-openwire-generator/src/main/java/org/apache/activemq/openwire/tool/commands/CommandSourceGenerator.java#public_void_generate(PrintWriter);protected_void_populateIncludeFilesSet();protected_void_populateBaseClassesSet();protected_void_generateDefaultConstructorBody(PrintWriter);protected_String_generateInitializerList();protected_void_generateDestructorBody(PrintWriter);protected_void_generateAdditionalConstructors(PrintWriter);protected_void_generateCloneDataStructureBody(PrintWriter);protected_void_generateCopyDataStructureBody(PrintWriter);protected_void_generateToStringBody(PrintWriter);protected_void_generateEqualsBody(PrintWriter);protected_void_generatePropertyAccessors(PrintWriter);protected_void_generateCompareToBody(PrintWriter);protected_void_generateAdditionalMethods(PrintWriter);
amqcpp, 4cbb7aacdb0914ebae84ac1df01b709fc5aec2bf,activemq-cpp-openwire-generator/src/main/java/org/apache/activemq/openwire/tool/commands/LocalTransactionIdHeaderGenerator.java#protected_void_generateAdditonalMembers(PrintWriter);protected_void_generateProperties(PrintWriter);
amqcpp, 4cbb7aacdb0914ebae84ac1df01b709fc5aec2bf,activemq-cpp-openwire-generator/src/main/java/org/apache/activemq/openwire/tool/commands/XATransactionIdHeaderGenerator.java#protected_void_populateIncludeFilesSet();protected_void_generateAdditionalConstructors(PrintWriter);protected_void_populateBaseClassesSet();protected_void_generateProperties(PrintWriter);protected_void_generateAdditonalMembers(PrintWriter);
amqcpp, de951c7bf9cd35b9faf4bb8eeb9da88d737ee6a3,activemq-cpp-openwire-generator/src/main/java/org/apache/activemq/openwire/tool/commands/MessageAckHeaderGenerator.java#protected_void_populateIncludeFilesSet();protected_void_generateAdditionalConstructors(PrintWriter);protected_void_generateAdditonalMembers(PrintWriter);
amqcpp, de951c7bf9cd35b9faf4bb8eeb9da88d737ee6a3,activemq-cpp-openwire-generator/src/main/java/org/apache/activemq/openwire/tool/commands/MessageAckSourceGenerator.java#protected_void_populateIncludeFilesSet();protected_void_generateAdditionalConstructors(PrintWriter);protected_void_generateAdditionalMethods(PrintWriter);
amqcpp, cd031496b10f0b4e0647863850a3d9d577b2e07d,activemq-cpp-openwire-generator/src/main/java/org/apache/activemq/openwire/tool/commands/MessageIdHeaderGenerator.java#protected_void_populateIncludeFilesSet();protected_void_generateAdditionalConstructors(PrintWriter);protected_void_generateProperties(PrintWriter);protected_void_generateAdditonalMembers(PrintWriter);
amqcpp, cd031496b10f0b4e0647863850a3d9d577b2e07d,activemq-cpp-openwire-generator/src/main/java/org/apache/activemq/openwire/tool/commands/MessageIdSourceGenerator.java#protected_void_generateAdditionalConstructors(PrintWriter);protected_String_generateInitializerList();protected_void_generateAdditionalMethods(PrintWriter);protected_void_populateIncludeFilesSet();protected_void_generateToStringBody(PrintWriter);
amqcpp, 19735326ef15d7bb7f3b12e713942024e41365e0,activemq-cpp-openwire-generator/src/main/java/org/apache/activemq/openwire/tool/commands/XATransactionIdSourceGenerator.java#protected_void_generateAdditionalConstructors(PrintWriter);protected_void_populateIncludeFilesSet();protected_void_populateBaseClassesSet();protected_void_generateAdditionalMethods(PrintWriter);
amqcpp, 54579da9916cc84d41566178f26e1bea6737177d,activemq-cpp-openwire-generator/src/main/java/org/apache/activemq/openwire/tool/commands/LocalTransactionIdSourceGenerator.java#protected_void_generateToStringBody(PrintWriter);
amqcpp, 18636c41bd49ba5f8c0b84ee30673646ebd75f75,activemq-cpp-openwire-generator/src/main/java/org/apache/activemq/openwire/tool/commands/LocalTransactionIdSourceGenerator.java#protected_void_generateToStringBody(PrintWriter);
amqcpp, f24feef088cf5ce2941b976afcff4135214694d0,activemq-cpp-openwire-generator/src/main/java/org/apache/activemq/openwire/tool/commands/MessageIdSourceGenerator.java#protected_void_generateAdditionalConstructors(PrintWriter);protected_String_generateInitializerList();protected_void_generateAdditionalMethods(PrintWriter);protected_void_populateIncludeFilesSet();protected_void_generateToStringBody(PrintWriter);
amqcpp, 044a7606d5835d865bb5cb93170f77c8113db95c,activemq-cpp-openwire-generator/src/main/java/org/apache/activemq/openwire/tool/commands/MessageAckHeaderGenerator.java#protected_void_populateIncludeFilesSet();protected_void_generateAdditionalConstructors(PrintWriter);
amqcpp, 044a7606d5835d865bb5cb93170f77c8113db95c,activemq-cpp-openwire-generator/src/main/java/org/apache/activemq/openwire/tool/commands/MessageAckSourceGenerator.java#protected_void_generateAdditionalConstructors(PrintWriter);
amqcpp, 044a7606d5835d865bb5cb93170f77c8113db95c,activemq-cpp-openwire-generator/src/main/java/org/apache/activemq/openwire/tool/commands/MessageDispatchHeaderGenerator.java#protected_void_populateIncludeFilesSet();protected_void_generateProperties(PrintWriter);protected_void_generateAdditonalMembers(PrintWriter);
amqcpp, 044a7606d5835d865bb5cb93170f77c8113db95c,activemq-cpp-openwire-generator/src/main/java/org/apache/activemq/openwire/tool/commands/MessageDispatchSourceGenerator.java#protected_String_generateInitializerList();protected_void_generateAdditionalMethods(PrintWriter);
amqcpp, 044a7606d5835d865bb5cb93170f77c8113db95c,activemq-cpp-openwire-generator/src/main/java/org/apache/activemq/openwire/tool/commands/MessageIdSourceGenerator.java#protected_void_generateAdditionalConstructors(PrintWriter);protected_String_generateInitializerList();protected_void_generateAdditionalMethods(PrintWriter);protected_void_populateIncludeFilesSet();protected_void_generateToStringBody(PrintWriter);
