project,revision,path.method
deltaspike, 774d5e4a3933e2ed7e2fad537b891ed3dc9e8083,deltaspike/core/impl/src/test/java/org/apache/deltaspike/test/core/impl/jmx/SimpleRegistrationEarFileTest.java#public_static_EnterpriseArchive_deployEar();
deltaspike, 774d5e4a3933e2ed7e2fad537b891ed3dc9e8083,deltaspike/modules/security/impl/src/test/java/org/apache/deltaspike/test/security/impl/authorization/secured/SecuredAnnotationEarFileTest.java#public_static_EnterpriseArchive_deployEar();
deltaspike, 9ac7ffc95ed3e96301a0d18aeee02d85aa8f9952,deltaspike/core/impl/src/test/java/org/apache/deltaspike/test/core/api/alternative/local/BdaAlternativeEarFileTest.java#public_static_EnterpriseArchive_deployEar();
deltaspike, 9ac7ffc95ed3e96301a0d18aeee02d85aa8f9952,deltaspike/core/impl/src/test/java/org/apache/deltaspike/test/core/api/exclude/ExcludeEarFileTest.java#public_static_EnterpriseArchive_deployEar() throws IOException;
deltaspike, 9ac7ffc95ed3e96301a0d18aeee02d85aa8f9952,deltaspike/core/impl/src/test/java/org/apache/deltaspike/test/core/api/exclude/ExcludeWarFileTest.java#public_static_WebArchive_deploy() throws IOException;public_static_String_getConfigContent() throws IOException;public_static_void_resetProjectStage();
deltaspike, 03e4147dd3b8c07be52f266dbbb3b9a2a0e4d3e5,deltaspike/core/impl/src/test/java/org/apache/deltaspike/test/core/api/alternative/local/BdaAlternativeEarFileTest.java#public_static_EnterpriseArchive_deployEar();
deltaspike, 03e4147dd3b8c07be52f266dbbb3b9a2a0e4d3e5,deltaspike/core/impl/src/test/java/org/apache/deltaspike/test/core/api/alternative/local/BdaAlternativeTest.java#public_void_alternativeImplementationWithClassAsBaseType();public_void_alternativeImplementationWithInterfaceAsBaseType();
deltaspike, 03e4147dd3b8c07be52f266dbbb3b9a2a0e4d3e5,deltaspike/core/impl/src/test/java/org/apache/deltaspike/test/core/api/alternative/local/BdaAlternativeWarFileTest.java#public_static_WebArchive_deploy();
deltaspike, dc49f7a80e10c7bae733b9fe7c07813d2be4a466,deltaspike/core/impl/src/test/java/org/apache/deltaspike/test/core/api/projectstage/ProjectStageProducerTest.java#public_void_testProjectStageSetByEnvironment();
deltaspike, f8a6c53edce19e33525b0bc517dddc0c4bf7e5b6,deltaspike/core/impl/src/main/java/org/apache/deltaspike/core/impl/exception/control/HandlerMethodStorageImpl.java#public_void_registerHandlerMethod(HandlerMethod<T>);public_Collection<HandlerMethod<?_extends_Throwable>>_getHandlersForException(Type; BeanManager; Set<Annotation>; boolean);
deltaspike, f8a6c53edce19e33525b0bc517dddc0c4bf7e5b6,deltaspike/modules/bean-validation/impl/src/main/java/org/apache/deltaspike/beanvalidation/impl/CDIAwareConstraintValidatorFactory.java#public_T_getInstance(Class<T>);public_void_releaseInstance(ConstraintValidator<?; ?>);private_synchronized_void_lazyInit();
deltaspike, da93fe7882bfaaa816daba7a71401a21823d4e92,deltaspike/core/impl/src/main/java/org/apache/deltaspike/core/impl/config/TypedResolverImpl.java#public_ConfigResolver.TypedResolver<N>_as(Class<N>);public_ConfigResolver.TypedResolver<List<T>>_asList();public_ConfigResolver.TypedResolver<N>_as(Class<N>; ConfigResolver.Converter<N>);public_ConfigResolver.TypedResolver<N>_as(Type; ConfigResolver.Converter<N>);public_ConfigResolver.TypedResolver<T>_withDefault(T);public_ConfigResolver.TypedResolver<T>_withStringDefault(String);public_ConfigResolver.TypedResolver<T>_cacheFor(TimeUnit; long);public_ConfigResolver.TypedResolver<T>_parameterizedBy(String);public_ConfigResolver.TypedResolver<T>_withCurrentProjectStage(boolean);public_ConfigResolver.TypedResolver<T>_strictly(boolean);public_ConfigResolver.TypedResolver<T>_evaluateVariables(boolean);public_ConfigResolver.TypedResolver<T>_logChanges(boolean);public_ConfigResolver.TypedResolver<T>_onChange(ConfigResolver.ConfigChanged<T>);public_T_getValue(ConfigSnapshot);public_T_getValue();private_T_splitAndConvertListValue(String);public_String_getKey();public_String_getResolvedKey();public_T_getDefaultValue();private_String_resolveStringValue();private_T_convert(String);private_T_fallbackToDefaultIfEmpty(String; T; T; ConfigResolverContext);private_String_resolveVariables(String);private_ProjectStage_getProjectStage();private_String_getPropertyValue(String);
deltaspike, 5ffcaf3b8243586e9a479f7a7e554a34c7669844,deltaspike/core/impl/src/test/java/org/apache/deltaspike/test/core/api/config/propertyconfigsource/BaseTestConfigProperty.java#public_void_testInjectConfig();public_void_testDynamicReload() throws Exception;
deltaspike, 118b9d3e63970fb94038d6f9379f9c261b4e609b,deltaspike/core/impl/src/main/java/org/apache/deltaspike/core/impl/config/PropertyFileConfigSource.java#private_void_calculateReloadTime();protected_Map<String;_String>_toMap(Properties);public_Map<String;_String>_getProperties();public_String_getPropertyValue(String);private_boolean_needsReload();private_synchronized_void_reloadProperties();private_int_getNowSeconds();private_Instant_getLastModified();private_boolean_isFile(URL);public_String_getConfigName();public_void_setOnAttributeChange(Consumer<Set<String>>);public_boolean_isScannable();
deltaspike, 33c3c2483907c2b0974c0ac3288e6b004c9e438b,deltaspike/core/impl/src/main/java/org/apache/deltaspike/core/impl/config/PropertiesConfigSource.java#public_String_getPropertyValue(String);public_Map<String;_String>_getProperties();public_boolean_isScannable();
